"NO_SPOOL","DIA","Length","Weight","MemberCount","JointCount","Emergency","ApplyLeadTime","STG","Service","Pass","Sch","Material","제작협력사","도장협력사","Plan_makingLT","Actual_makingLT","Predicted_makingLT","Plan_paintingLT","Actual_paintingLT","Predicted_paintingLT"
"SN2126B7PU1200145","30.0","2490.0","1470.43","5.0","4.0","1.0","정상","50.0","RN","B","S-30","LTCS","건일산업(주)","건일산업(주)","17.0","28.0","32.972443","11.0","14.0","16.686754"
"SN2126B7PU1125821","1.5","1216.0","12.73","5.0","4.0","1.0","정상","30.0","AI","B","S-80","CS","성일SIM함안공장","하이에어","19.0","21.0","23.517746","13.0","14.0","17.12946"
"SN2126B7PU1314511","1.0","2219.0","9.338","3.0","2.0","1.0","정상","50.0","DN","B","S-80S","SS","성일","하이에어","19.0","18.0","19.709944","16.0","9.0","18.488033"
"SN2126B7PU1123536","0.5","145.0","2.178","6.0","5.0","1.0","정상","30.0","CHS","A","S-80","CS","(주)성광테크","(주)성광테크","27.0","23.0","20.146177","13.0","24.0","16.895794"
"SN2126B7PU1126752","1.0","1723.0","12.964","8.0","7.0","1.0","정상","50.0","AU","A","S-80","CS","건일산업(주)","건일산업(주)","24.0","9.0","23.931103","14.0","18.0","20.402699"
"SN2126B7PU1702758","8.0","1990.0","123.232999999999","3.0","2.0","1.0","정상","50.0","FW","B","T-6.35","CN","부흥","하이에어","19.0","22.0","24.535492","20.0","15.0","15.026659"
"SN2126B7PU1120658","4.0","916.0","48.36","7.0","6.0","1.0","정상","40.0","HWR","B","S-40","CS","성일SIM함안공장","하이에어","31.0","24.0","26.248245","20.0","40.0","18.770023"
"SN2126B7PU1316938","2.0","806.0","14.776","7.0","6.0","1.0","정상","30.0","RN","A","S-10S","SS","삼성중공업(주)거제","성도","0.0","61.0","47.31133","21.0","11.0","16.38426"
"SN2126B7PU1312415","2.0","1400.0","5.553","1.0","0.0","0.0","정상","50.0","NL","B","S-10S","SS","삼성중공업(주)거제","하이에어","1.0","57.0","41.75537","1.0","22.0","19.77163"
"SN2126B7PU1120631","12.0","10200.0","552.092","5.0","4.0","1.0","정상","50.0","FWH","A","S-20","CS","건일산업(주)","건일산업(주)","26.0","25.0","21.924185","13.0","47.0","18.35874"
"SN2126B7PU1704522","1.0","1181.0","13.154","13.0","5.0","1.0","정상","50.0","FW","A","T-3.2","CN","부흥","하이에어","17.0","23.0","38.21083","19.0","32.0","16.575985"
"SN2126B7PU1120985","2.0","1298.0","21.033","6.0","5.0","1.0","정상","40.0","CHS","B","S-80","CS","건일산업(주)","건일산업(주)","32.0","29.0","31.130375","11.0","25.0","19.279427"
"SN2126B7PU1120273","2.0","1528.0","25.646","9.0","8.0","1.0","정상","30.0","N","B","S-80","CS","(주)성광테크","(주)성광테크","23.0","20.0","22.61486","13.0","16.0","17.488548"
"SN2126B7PU1117186","1.0","381.0","1.234","1.0","0.0","1.0","정상","30.0","AU","A","S-80","CS","(주)성광테크","(주)성광테크","34.0","39.0","20.7952","13.0","19.0","17.109852"
"SN2126B7PU1704453","1.5","990.0","20.868","19.0","8.0","1.0","정상","30.0","FA","B","T-3.81","CN","부흥","하이에어","22.0","28.0","31.213829","21.0","6.0","14.626712"
"SN2126B7PU1704837","6.0","1044.0","52.45","3.0","2.0","1.0","정상","50.0","FW","B","T-6.35","CN","부흥","하이에어","20.0","25.0","23.26479","13.0","9.0","15.042515"
"SN2126B7PU1134108","8.0","374.0","110.175","3.0","2.0","1.0","정상","40.0","PG","A","S-80","CS","성일SIM함안공장","하이에어","17.0","25.0","25.57287","19.0","19.0","17.168255"
"SN2126B7PU1135106","0.75","100.0","0.22","1.0","0.0","1.0","최소","50.0","N","A","S-80","CS","건일산업(주)","건일산업(주)","4.0","6.0","13.299946","8.0","1.0","12.43477"
"SN2126B7PU1131556","1.0","0.0","7.88299999999999","8.0","0.0","1.0","준긴급","30.0","DH","B","S-80","CS","(주)성광테크","(주)성광테크","12.0","17.0","20.165722","8.0","9.0","13.778849"
"SN2126B7PU1124196","0.75","75.0","1.065","2.0","1.0","0.0","정상","30.0","AI","B","S-80","CS","(주)성광테크","(주)성광테크","22.0","18.0","22.37174","14.0","19.0","19.25153"
"SN2126B7PU1J00455","10.0","0.0","925.025","8.0","7.0","0.0","정상","50.0","N","A","S-60","CS","건일산업(주)","삼녹","1.0","21.0","21.86022","17.0","17.0","16.842579"
"SN2126B7PU1131517","1.5","500.0","47.826","12.0","11.0","1.0","정상","30.0","MT","A","S-XXS","CS","건일산업(주)","건일산업(주)","38.0","57.0","48.32005","11.0","15.0","17.273163"
"SN2126B7PU1704009","6.0","804.0","101.899","8.0","7.0","1.0","정상","30.0","FA","B","T-6.35","CN","부흥","하이에어","39.0","32.0","23.361809","11.0","13.0","14.62795"
